Point ID,Points_0,Points_1,Points_2,Points_Magnitude,Scalars_
14015,127.5,191,108,253.774,529
13502,127.5,190,104,251.341,660
12989,127.5,189,100,248.952,1222
12731,127.5,187,98,246.636,736
12473,127.5,185,96,244.33,489
12214,127.5,182,94,241.28,314
11955,127.5,179,92,238.246,507
11696,127.5,176,90,235.228,1507
11437,127.5,173,88,232.227,2239
11434,127.5,170,88,230.001,1636
11174,127.5,166,86,226.292,1913
10912,127.5,160,84,221.161,1402
11161,127.5,153,86,216.936,1080
11415,127.5,151,88,216.336,1056
11667,127.5,147,90,214.395,1045
11920,127.5,144,92,213.205,982
12172,127.5,140,94,211.405,939
12423,127.5,135,96,209.039,1050
12675,127.5,131,98,207.416,783
12928,127.5,128,100,206.495,403
13182,127.5,126,102,206.243,267
13437,127.5,125,104,206.633,304
